Price incl. 19 % VAT - valid from 01.01.2021;PNC;GARDENA Part Number
14,01;590012001;00059-00.120.01
12,8;590110601;00059-01.106.01
3,78;590217201;00059-02.172.01
9,67;590220701;00059-02.207.01
3,87;590221101;00059-02.211.01
4,86;590221301;00059-02.213.01
4,44;590221401;00059-02.214.01
5,99;590221501;00059-02.215.01
11,54;590222001;00059-02.220.01
16,49;590222101;00059-02.221.01
4,15;590222201;00059-02.222.01
6,12;590222301;00059-02.223.01
12,26;590222401;00059-02.224.01
8,97;590222501;00059-02.225.01
3,8;590222601;00059-02.226.01
1,32;590222901;00059-02.229.01
6,76;590225501;00059-02.255.01
6,69;590225601;00059-02.256.01
9,14;590227901;00059-02.279.01
7,9;590228001;00059-02.280.01
7,46;590231501;00059-02.315.01
20,92;590233301;00059-02.333.01
22,07;590233501;00059-02.335.01
13,97;590233801;00059-02.338.01
18,73;590234101;00059-02.341.01
19,78;590234501;00059-02.345.01
19,37;590234601;00059-02.346.01
7,59;590236801;00059-02.368.01
82,54;590239301;00059-02.393.01
2,45;590239501;00059-02.395.01
8,5;590242001;00059-02.420.01
8,88;590242101;00059-02.421.01
9,01;590242301;00059-02.423.01
8,5;590242401;00059-02.424.01
3,22;590247001;00059-02.470.01
11,22;590248001;00059-02.480.01
2,07;590249901;00059-02.499.01
2,02;590250201;00059-02.502.01
15,33;590251501;00059-02.515.01
2,17;590251901;00059-02.519.01
16,51;590259201;00059-02.592.01
20,92;590259401;00059-02.594.01
22,46;590259501;00059-02.595.01
3,56;590259901;00059-02.599.01
4,77;590260001;00059-02.600.01
2,23;590260501;00059-02.605.01
1,33;590260601;00059-02.606.01
1,09;590260701;00059-02.607.01
0,83;590261401;00059-02.614.01
2,55;590261501;00059-02.615.01
0,83;590261801;00059-02.618.01
1,76;590262101;00059-02.621.01
0,68;590262401;00059-02.624.01
8,77;590262801;00059-02.628.01
13,34;590262901;00059-02.629.01
16,46;590263501;00059-02.635.01
14,4;590263601;00059-02.636.01
18,69;590263701;00059-02.637.01
5,56;590265101;00059-02.651.01
29,07;590283201;00059-02.832.01
19,16;590283501;00059-02.835.01
77,09;590442203;00059-04.422.03
2,02;590496501;00059-04.965.01
13,76;590496701;00059-04.967.01
11,04;590496801;00059-04.968.01
2,12;590496901;00059-04.969.01
11,16;590497201;00059-04.972.01
18,97;590497401;00059-04.974.01
0,55;590508701;00059-05.087.01
2,45;590514501;00059-05.145.01
2;590514601;00059-05.146.01
25,78;590587101;00059-05.871.01
11,9;590660201;00059-06.602.01
0,5;590740201;00059-07.402.01
7,38;590770701;00059-07.707.01
13,8;590939801;00059-09.398.01
8,88;591203601;00059-12.036.01
46,56;591362601;00059-13.626.01
20,1;591362801;00059-13.628.01
82,16;591365401;00059-13.654.01
131,94;591444501;00059-14.445.01
14,14;591452501;00059-14.525.01
3,78;591474201;00059-14.742.01
1,73;592622401;00059-26.224.01
0,68;592623001;00059-26.230.01
1,93;592623101;00059-26.231.01
2;592623201;00059-26.232.01
1,33;592623301;00059-26.233.01
2,43;592623401;00059-26.234.01
8,25;592623501;00059-26.235.01
4,3;592623701;00059-26.237.01
2,76;592624001;00059-26.240.01
27,27;592654401;00059-26.544.01
42,97;592851901;00059-28.519.01
16,67;592852301;00059-28.523.01
49,39;592852701;00059-28.527.01
102,79;592909302;00059-29.093.02
90,52;592909401;00059-29.094.01
35,77;592909801;00059-29.098.01
60,3;593094601;00059-30.946.01
77,09;593163601;00059-31.636.01
1,82;593215601;00059-32.156.01
154,26;593246402;00059-32.464.02
97,15;593247201;00059-32.472.01
0,99;593264201;00059-32.642.01
17,92;593265701;00059-32.657.01
18,04;593307201;00059-33.072.01
26,93;593348601;00059-33.486.01
19,1;593373701;00059-33.737.01
1,01;593576701;00059-35.767.01
0,83;593577901;00059-35.779.01
19,62;593589301;00059-35.893.01
100,33;593737201;00059-37.372.01
34,57;593746701;00059-37.467.01
117,22;593757701;00059-37.577.01
122,02;593757901;00059-37.579.01
154,28;593821401;00059-38.214.01
8,5;593895601;00059-38.956.01
11,32;594058601;00059-40.586.01
2;596254401;00059-62.544.01
180,92;596354201;00059-63.542.01
14,27;596507201;00059-65.072.01
7,76;597435801;00059-74.358.01
0,71;598764201;00059-87.642.01
116,06;598764502;00059-87.645.02
4,03;725237951;00072-52.379.51
2,55;731432401;00073-14.324.01
1,98;734113741;00073-41.137.41
47,54;953876592;00095-38.765.92
5,24;520294501;00232-00.600.16
17,29;520294601;00232-00.600.21
6,06;520294701;00232-00.600.26
1,86;520294801;00232-00.600.31
3,09;520294901;00232-00.600.36
5,72;520295001;00232-00.600.41
16,55;520295101;00232-00.600.42
0,56;520295201;00232-00.600.46
6,77;520295301;00232-00.600.51
9,71;520295401;00232-00.600.56
16,84;520295501;00232-00.703.00
1,01;520295701;00245-00.106.00
3,01;587068001;00297-00.600.02
24,31;587068201;00297-00.610.00
4,76;587064401;00298-00.600.17
2,51;587065501;00298-00.600.18
2,15;587065901;00298-00.600.19
1,68;587066001;00298-00.600.20
2,08;587066101;00298-00.600.21
1,14;587066201;00298-00.600.22
2,68;587066301;00298-00.600.23
3,68;587066401;00298-00.600.28
3,26;587066701;00298-00.600.29
8,16;587066801;00298-00.600.30
13,39;587067001;00298-00.600.31
1,33;587206201;00298-00.600.37
20,9;587064301;00298-00.610.00
13,82;520296001;00302-00.600.01
1,33;523405201;00302-00.600.22
4,02;520296101;00302-00.600.23
2,74;520296201;00302-00.600.24
4,49;520296301;00302-00.600.29
13,1;520296401;00302-00.640.00
16,64;520296501;00303-00.600.01
1,92;520296601;00303-00.600.03
4,02;520296701;00303-00.600.18
3,84;520296801;00303-00.600.21
1,33;520296901;00303-00.600.27
5,49;575584701;00303-00.600.34
2,58;576115001;00303-00.600.35
16,21;520297001;00304-00.600.01
12,9;520297101;00304-00.640.00
3,13;520297401;00311-00.010.06
3,63;520297501;00312-00.600.02
1,33;587090001;00312-00.600.11
1,01;520297601;00312-00.600.12
1,52;520297801;00316-00.000.07
2,57;520297901;00316-00.000.08
6,27;520298101;00316-00.600.05
3,67;520298701;00316-00.620.00
2,99;520298801;00316-00.640.00
3,93;520299101;00324-00.600.58
5,12;520299201;00324-00.600.67
1,43;520299301;00324-00.600.68
1,93;520299501;00333-00.600.20
0,88;520299601;00333-00.600.22
2,15;520299701;00333-00.600.64
2,02;520299801;00333-00.610.28
2,15;520300001;00341-00.600.11
10,66;520300101;00343-00.600.01
4,19;520300201;00343-00.600.02
2,25;520300301;00343-00.600.03
1,33;520300401;00343-00.600.04
1,14;520300501;00343-00.600.10
10,66;520300801;00343-00.600.33
3,47;520300901;00343-00.800.15
2;520301101;00348-00.600.14
3,03;520301301;00350-00.000.12
1,42;520301701;00370-00.000.08
2,77;520301901;00387-00.600.31
3,31;520302001;00387-00.600.41
3,13;520302101;00387-00.600.46
5,88;520302501;00391-00.900.03
2,17;520303301;00394-00.900.01
2,74;520303401;00394-00.900.02
3,13;520303501;00395-00.600.24
3,9;525558601;00399-00.900.01
1,33;525559201;00399-00.900.03
1,42;525559401;00399-00.900.04
2,05;525559501;00399-00.900.05
1,44;520303601;00400-00.100.10
0,83;520303801;00410-00.000.39
1,92;520303901;00410-00.100.11
5,4;520304301;00410-00.400.06
7,68;520304601;00410-00.402.00
5,95;520304701;00410-00.420.00
7,21;520304801;00410-00.610.00
5,68;520304901;00415-00.600.01
3,87;520305301;00420-00.000.02
1,45;520305401;00420-00.000.08
2,51;520305501;00420-00.010.11
7,1;520305601;00425-00.600.06
4,3;520305901;00430-00.600.06
2,5;520306001;00430-00.600.08
4,94;520306201;00430-00.600.13
12,83;520306401;00430-00.600.20
10,79;520306501;00430-00.600.22
1,82;520306601;00430-00.600.28
9,94;521912701;00430-00.600.30
25,83;520306801;00430-00.630.00
9,72;520306901;00430-00.650.00
5,74;520307101;00430-00.810.04
5,74;520307201;00430-00.820.03
4,15;590202801;00431-00.600.16
2,02;590203201;00431-00.600.26
2,59;590204601;00431-00.600.41
3,57;590204801;00431-00.600.51
2,17;590205001;00431-00.600.61
1,93;590205201;00431-00.600.68
8,41;590206001;00432-00.600.06
2,74;590206401;00432-00.600.11
4,06;590468701;00432-00.600.21
17,96;590206701;00432-00.600.31
11,54;590206801;00432-00.600.36
4,44;590207001;00432-00.600.41
8,66;590207101;00432-00.600.48
2,15;590207301;00432-00.600.49
8,97;593233301;00432-00.600.56
2,76;593728401;00432-00.600.61
10,66;597477501;00432-00.600.66
12,65;590207401;00432-00.611.00
6;590207501;00432-00.612.00
15,02;590818001;00432-20.710.00
16,07;520307401;00433-00.600.05
10,85;520307501;00433-00.600.07
11,47;520307601;00433-00.600.08
4,02;520307701;00433-00.600.09
10,85;577016201;00433-00.600.26
11,53;577016301;00433-00.600.31
4,66;577016101;00433-00.600.36
27,91;520308001;00433-00.620.00
8,43;523443201;00433-00.630.00
8,43;523443301;00433-00.640.00
6,99;574485201;00433-00.650.00
7,94;574485301;00433-00.660.00
18,54;590380601;00436-00.600.01
9,25;590380701;00436-00.600.02
1,45;590380801;00436-00.600.06
2,88;590380901;00436-00.600.07
8,66;590381001;00436-00.600.17
3,65;590381201;00436-00.600.28
2,08;590381301;00436-00.600.33
8,44;590381401;00436-00.600.34
8,41;590381701;00436-00.600.42
2,27;590381801;00436-00.600.45
4,15;590381901;00436-00.600.47
9,16;590382301;00436-00.600.63
7,41;582284301;00436-00.600.68
9,79;590382401;00436-00.600.73
2,88;590382501;00436-00.600.78
3,75;590382701;00436-00.600.83
7,89;590383201;00436-00.600.88
12,79;520309001;00600-00.600.11
12,71;520309101;00600-00.600.12
2,57;520309201;00600-00.600.13
1,52;520309301;00600-00.810.00
2,5;520309401;00601-00.600.20
13,65;520309501;00603-00.600.11
4,19;520309601;00603-00.600.20
1,94;520309701;00608-00.600.29
4,19;520309801;00608-00.600.33
12,79;520309901;00608-00.600.36
2,08;520310101;00609-00.600.15
1,74;520310301;00610-00.600.06
1,32;520310401;00610-00.600.10
1,37;520310501;00610-00.600.11
1,52;520310601;00610-00.600.18
14,24;520310701;00610-00.611.00
15,1;520311301;00618-00.620.00
17,49;520311401;00641-00.600.11
7,24;520311501;00641-00.600.21
1,73;520311701;00641-00.600.23
7,88;520311801;00642-00.600.04
2,57;520311901;00642-00.600.05
